availability_30,availability_60,availability_90,availability_365
25,55,85,172
3,3,6,199
0,0,0,0
30,60,90,365
1,11,36,36
18,18,18,18
5,20,39,284
30,60,90,365
28,58,88,363
20,36,44,72
0,2,13,60
0,0,0,47
0,0,0,0
5,35,65,335
30,60,90,365
0,0,0,0
29,59,89,364
0,0,0,0
0,0,0,0
29,59,89,364
0,0,0,0
27,57,87,87
0,0,0,0
6,29,59,148
0,0,0,0
4,34,64,339
0,0,0,0
0,0,0,0
6,23,49,309
1,1,5,116
6,19,42,187
6,10,22,170
0,0,0,262
0,0,0,1
13,30,56,273
8,33,63,320
0,0,0,0
0,0,0,0
28,58,88,363
0,0,0,0
0,0,0,0
30,60,90,365
28,58,88,88
0,0,0,46
0,0,0,0
30,60,90,365
22,44,72,166
0,0,0,0
6,36,41,271
28,58,88,363
0,0,0,0
20,50,80,352
27,57,87,361
28,57,87,353
0,0,0,0
15,30,44,273
27,57,87,341
0,0,0,36
0,2,27,235
0,0,0,0
0,26,56,222
28,58,88,178
13,36,66,156
0,0,0,0
0,0,0,0
4,8,12,209
13,19,30,219
29,59,89,89
0,0,0,0
0,1,2,97
29,59,89,179
30,60,90,365
0,0,0,0
0,0,0,0
5,25,49,75
7,10,26,228
5,24,54,329
0,0,0,0
0,0,0,0
8,21,39,120
0,0,0,0
20,50,80,170
0,4,5,68
0,0,0,0
25,29,59,222
17,30,44,285
8,9,20,252
14,14,14,14
19,45,75,350
2,4,5,98
27,57,87,362
29,59,89,364
6,36,66,341
22,52,82,82
9,39,63,323
17,38,57,325
7,13,30,238
0,24,54,329
2,26,56,331
30,60,90,365
8,15,17,274
0,0,0,0
0,0,0,0
0,1,6,198
0,0,0,0
29,59,89,364
9,24,44,310
8,14,29,81
4,14,26,297
4,9,15,17
0,0,0,211
12,14,26,97
8,15,20,253
15,30,30,254
25,55,85,360
30,60,90,365
2,6,8,202
0,0,0,0
9,27,48,287
8,20,25,152
11,41,59,324
4,34,64,339
0,0,0,0
3,4,6,96
0,0,0,0
0,0,0,0
6,27,57,302
3,12,32,282
0,5,5,48
0,0,0,10
0,0,13,243
29,59,89,364
30,60,90,90
29,56,82,247
0,0,0,216
0,0,0,72
0,0,0,221
29,59,89,364
0,0,0,0
30,60,90,365
30,60,90,90
25,55,85,175
0,0,0,0
0,0,0,0
18,31,52,52
29,59,89,364
0,0,0,0
21,41,53,53
21,51,81,356
0,0,0,0
30,60,90,365
29,59,89,364
10,40,70,300
6,27,57,57
4,17,30,234
4,12,28,179
0,0,0,0
5,32,62,152
0,9,39,314
30,60,90,365
8,26,50,320
0,0,0,0
28,58,88,363
0,0,0,202
15,35,64,154
30,60,90,350
0,0,0,0
0,0,0,0
1,10,30,91
30,60,90,336
0,0,0,0
28,58,88,88
0,0,0,0
28,58,88,363
0,0,0,0
28,58,88,363
30,60,90,365
1,12,19,146
23,53,83,358
0,0,0,0
3,17,32,106
10,26,49,262
26,46,62,330
21,46,76,76
20,44,74,74
0,0,0,192
11,41,71,310
0,0,0,66
0,5,34,34
0,0,0,0
7,25,54,54
18,45,75,344
0,0,26,301
14,32,53,309
30,60,90,365
29,59,88,88
0,0,0,220
0,11,41,131
27,57,87,362
28,55,83,226
30,60,90,365
0,0,4,4
30,54,83,358
28,56,56,295
5,8,11,237
10,19,32,299
23,44,68,343
0,0,9,38
14,44,74,349
30,60,90,361
23,35,48,103
12,42,64,333
18,48,78,353
30,60,90,365
4,18,41,288
6,27,57,315
0,0,0,0
5,13,30,305
0,0,0,0
4,11,27,234
22,34,54,306
14,35,65,340
0,0,0,0
0,12,42,133
0,0,0,0
29,59,89,364
30,60,90,90
29,59,89,364
14,21,36,253
2,10,12,250
1,4,30,231
0,0,0,0
21,51,76,254
26,56,86,361
2,4,4,212
21,51,81,171
11,21,49,106
0,0,0,272
2,7,9,217
19,24,54,326
3,3,3,237
23,53,83,83
0,0,0,0
3,3,3,3
0,28,46,284
5,13,41,242
3,22,49,303
11,15,26,301
29,59,89,364
2,4,13,61
1,7,30,113
0,0,0,65
0,0,0,0
17,43,53,209
0,0,0,0
30,60,90,365
0,6,8,229
10,24,54,130
8,15,45,302
0,0,0,0
2,32,62,337
29,59,89,179
4,4,4,172
12,35,52,291
25,55,85,354
4,33,63,175
30,60,84,359
